codEstudiante;anioIngreso;codPersona;codCarreraProfesional
10968;2016;2914;44
10997;2016;2904;44
10998;2016;2902;44
11004;2016;2903;44
11006;2016;2857;45
11007;2016;2733;45
11008;2016;2838;44
11043;2016;2611;44
11044;2016;2598;44
11045;2016;2601;44
11048;2016;2836;45
11057;2016;2834;44
11059;2016;2600;44
11060;2016;2864;44
11061;2016;2835;45
11062;2016;2641;44
11076;2016;2603;45
11079;2016;2815;44
11081;2016;2919;44
11085;2016;2853;46
11091;2016;2915;44
11092;2016;2916;44
11098;2016;2842;44
11100;2016;2653;45
11101;2016;2843;45
11107;2016;2604;45
11112;2016;2913;44
11113;2016;2910;44
11115;2016;2921;44
11118;2016;2851;45
11131;2016;2816;45
11138;2016;2906;44
11151;2016;2647;44
11152;2016;2806;44
11155;2016;2609;46
11162;2016;2951;45
11167;2016;2953;45
11172;2016;2961;44
11176;2016;2949;44
11181;2016;2963;46
11183;2016;2956;44
11184;2016;2926;44
11186;2016;2955;45
11189;2016;2950;46
11195;2016;2948;45
11205;2016;2966;44
11206;2016;2990;46
11216;2016;2970;45
11217;2016;2968;44
11220;2016;2971;46
11226;2016;2967;45
11232;2016;2994;45
